title,start_date_f,end_date_f,lat,lng,address,description,tags,source
Crafts on Saturdays,2015-11-21T20:30:00Z,2015-11-21T21:30:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Drop in for arts and crafts on Saturday afternoons! ,[],library
Experience Korea  ,2015-11-21T21:30:00Z,2015-11-21T22:30:00Z,41.9755882,-87.7137735,"3401 W. Foster Avenue, Chicago, IL 60625-4808",Come and join us as we experience the Korean language and culture in the library. This program is presented by the Korean Education Center at the Korean Consulate General in Chicago. ,[],library
YOUmedia Open Hours,2015-11-23T21:00:00Z,2015-11-23T23:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",[],library
Maker Open Lab,2015-11-23T22:00:00Z,2015-11-24T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Use YOUmedia's maker equipment to pursue your own projects. Learn to design and print in 3D or use the vinyl cutter to create stickers, stencils, or decals. Have an idea of your own? Come in and make it happen!",[],library
Library of Games Podcast,2015-11-23T22:00:00Z,2015-11-23T23:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you know what an MMORPG is? An FPS? An RTS? Then join Library of Games (LoG), YOUmedia's very own video game podcast, blog and Let's Play channel. We record a podcast on video game topics every week. ",[],library
Get Wreckt!,2015-11-23T22:30:00Z,2015-11-24T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Interested in engineering, taking apart objects to see how they work and creating something new from scratch? Then join us for Get Wreckt to mess around and tinker with everyday objects.",[],library
Pre-Teen Book Club: Akata Witch,2015-11-23T23:00:00Z,2015-11-24T00:00:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624"," Join Legler's Pre-Teen Book Club. At meetings we will talk, snack and read. We will feature a new book every two weeks. ",[],library
Avalon Odeum,2015-11-24T00:30:00Z,2015-11-24T01:30:00Z,41.74691,-87.586031,"8148 S. Stony Island Avenue, Chicago, IL 60617","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a715934be0b8b59a8a9a0296e3b882b9/HeartbreakPOV.jpg.jpg"" unselectable=""on"">",[],library
Superhero Audiobooks,2015-11-24T21:00:00Z,2015-11-25T00:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Play games that inspire storytelling and create your very own audiobook.,[],library
Teen Gamers,2015-11-24T22:00:00Z,2015-11-24T23:00:00Z,41.8943707,-87.7064607,"733 N. Kedzie Avenue, Chicago, IL 60612",The library has games! Hang out with your friends after school and play card games and board games. Teens can play video games on a PlayStation 3 or a Nintendo DS.,[],library
YOUmedia Podcast Network,2015-11-24T22:00:00Z,2015-11-25T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you want to be heard? Join us to create your own podcast or radio series. Learn how to record, produce and edit your own show.",[],library
STREAMing Minds At Work,2015-11-24T22:30:00Z,2015-11-25T01:30:00Z,41.864363,-87.709759,"3353 W. 13th Street, Chicago, IL 60623","Working with The <em>STREAM</em> Labs and Dr. Lynne Muhammad, an ISBE certified science teacher at Whitney M. Young High School, students, <strong>grades 5-12</strong>, will merge core academic skills to research, design and present quality and competitive, inquiry-based, student-driven science fair projects. ",[],library
YOUmedia Fashion,2015-11-24T23:00:00Z,2015-11-25T01:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Do you have a sense of style? Do you like to accessorize or make your own clothes? Join us to learn the basics of sewing, pattern making, CosPlay, deconstruction and much more and get certified to use a sewing machine!",[],library
Photo &amp; Video,2015-11-24T23:00:00Z,2015-11-25T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Explore the creative possibilities a pro-level camera can offer in video and photography. From there, you can explore a range of options - from music videos to narrative and experimental shorts in video, to portrait, conceptual and documentary styles in photography. Learn technical skills as well as artistic concepts and principles that will lead to the most unique and creative ways to capture people, places, topics, thoughts and emotions.",[],library
Scrapbooking,2015-11-24T23:30:00Z,2015-11-25T01:00:00Z,41.693103,-87.701067,"11010 S. Kedzie Avenue, Chicago, IL 60655",Interested in learning to scrapbook? Bring 15-20 photos. All other supplies will be provided.  We will be creating 12x12 pages.,[],library
YOUmedia Open Hours,2015-11-25T21:00:00Z,2015-11-25T23:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",[],library
Crafternoon Wednesdays,2015-11-25T22:00:00Z,2015-11-25T23:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Drop in for arts and crafts on Wednesday afternoons! No registration is necessary. Ages 6+. Younger children are welcome to participate with caregivers. ,[],library
Underground Feedback Stereo,2015-11-25T22:00:00Z,2015-11-25T23:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",[],library
Art Technique and Concept,2015-11-25T22:30:00Z,2015-11-26T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Work with our artists to learn and improve skills in art and graphic design. Get hands on with pencils, paint, tablets, and printing, and design with Photoshop and Illustrator. Experiment with how art can communicate your ideas, feelings and viewpoints to the world!",[],library
F.L.O.W. Open Mic,2015-11-25T23:30:00Z,2015-11-26T01:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Perform poetry, music, dance, comedy and more in YOUmedia's very own open mic night. Experiment with a wide variety of media, as well as recording it all live. Come early to get your name on the performance list and start working on your stage presence. Fresh.Lyrics.On.Wednesdays.",[],library
Family Game Night,2015-11-26T00:00:00Z,2015-11-26T01:00:00Z,41.881111,-87.679283,"6 S. Hoyne Avenue, Chicago, IL 60612","An hour-long game night for kids, teens and their parents and friends.  We will provide a variety of board games and puzzles the whole family is sure to enjoy!",[],library
Teen Game Room,2015-11-26T21:00:00Z,2015-11-26T23:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622","Unwind, relax and hang out with friends over some board games and video games!",[],library
Board Games &amp; Card Games: The Real Challenge,2015-11-28T17:00:00Z,2015-11-28T21:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Strategize and challenge your opponent(s) to survive fun quests.,[],library
Underground Feedback Stereo,2015-11-28T19:00:00Z,2015-11-28T21:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",[],library
Crafts on Saturdays,2015-11-28T20:30:00Z,2015-11-28T21:30:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Drop in for arts and crafts on Saturday afternoons! ,[],library
YOUmedia Open Hours,2015-11-30T21:00:00Z,2015-11-30T23:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",[],library
Maker Open Lab,2015-11-30T22:00:00Z,2015-12-01T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Use YOUmedia's maker equipment to pursue your own projects. Learn to design and print in 3D or use the vinyl cutter to create stickers, stencils, or decals. Have an idea of your own? Come in and make it happen!",[],library
