black1,red1,strike1,black2,red2,strike2,title,start_date_f,end_date_f,lat,lng,address,description,tags,source
0,0,0,0,0,0,Hands-On Solar Activities with Adler Summer Interns,2015-08-05T22:00:00Z,2015-08-05T23:00:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628","This summer, <a href=""http://www.adlerplanetarium.org/"">the Adler</a> brings the Universe a little closer to you! Adler teen interns are on the move, bringing telescopes and science activities to library locations around Chicago. In areas where solar viewing is possible, and weather permitting, participants can take a look at the sun through specialized solar filters.",art/entertainment,library
0,0,0,0,0,0,Wired Wednesdays: Teen Tech Series,2015-08-05T22:30:00Z,2015-08-05T23:30:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624","Each week, explore different software and forms of technology while expressing yourself creatively. Learn about video and music editing as well as digital media and technology in this engaging drop-in program series for teens in grades 9 to 12.",art/entertainment,library
0,0,0,0,0,0,F.L.O.W. Open Mic Night,2015-08-05T22:30:00Z,2015-08-06T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Perform poetry, music, dance, comedy and more in YOUmedia's very own open mic night. Experiment with a wide variety of media, as well as recording it all live. Come early to get your name on the performance list and start working on your stage presence. Fresh.Lyrics.On.Wednesdays.",art/entertainment,library
0,0,0,0,0,0,Home School Meet-Up,2015-08-06T18:30:00Z,2015-08-06T20:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Come spend time in YOUmedia with other Chicago area home school students. We make art, play games and hang out!",art/entertainment,library
0,0,0,0,0,0,YOUmedia Video Thursday,2015-08-06T19:00:00Z,2015-08-06T23:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609","Learn about photography, make videos and record music and podcasts.",art/entertainment,library
0,0,0,0,0,0,Teen Reading Cafe,2015-08-06T19:00:00Z,2015-08-06T19:30:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609", Work on your summer reading a bit at a time over a tasty beverage.,art/entertainment,library
0,0,0,0,0,0,_„æNew Voices on the Studs Terkel Radio Archive,2015-08-06T19:00:00Z,2015-08-06T21:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","New Voices on the Studs Terkel Radio Archive empowers youth to use 21st century skills in developing a multi-media exhibit and digital archive, inserting youth voice into the cultural and historical narratives captured by Studs Terkel.",art/entertainment,library
0,0,0,0,0,0,Teen Game Room,2015-08-06T20:00:00Z,2015-08-06T22:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622","Unwind, relax and hang out with friends over some board games and video games!",art/entertainment,library
0,0,0,0,0,0,YOUmedia T-Shirt Graphic Design,2015-08-06T21:00:00Z,2015-08-06T23:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Borrow silhouette concepts to design your own t-shirt by using special apps to photograph unique ideas and edit them on Adobe Illustrator and Photoshop. ,art/entertainment,library
0,0,0,0,0,0,Tinker Studio,2015-08-06T21:00:00Z,2015-08-06T22:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605"," Interested in making but you don't know what to create? Every week we will work on a new project using tools like Makey Makey, Solar Cars, Arduino, LEDs, Little Bits and more. You don't have to be a maker to create but you need willingness to try.",art/entertainment,library
0,0,0,0,0,0,Journey Through White Sox History,2015-08-06T23:00:00Z,2015-08-07T00:30:00Z,41.792982,-87.780022,"6348 S. Archer Avenue, Chicago, IL 60638","<img style=""width: 254px; height: 254px;"" src=""https://pbs.twimg.com/profile_images/576488501102792704/QZ95ENwW.jpeg"" unselectable=""on"">",art/entertainment,library
0,0,0,0,0,0,New Voices on the Studs Terkel Radio Archive,2015-08-07T19:00:00Z,2015-08-07T21:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","New Voices on the Studs Terkel Radio Archive empowers youth to use 21st century skills in developing a multi-media exhibit and digital archive, inserting youth voice into the cultural and historical narratives captured by Studs Terkel.",art,library
0,0,0,0,0,0,YOUmedia Magic: The Gathering,2015-08-08T16:00:00Z,2015-08-08T18:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Play trading card games, and challenge yourself to build strategies, skills, and imagination through online platforms.",art,library
